'RK’,'depth’
634.1609,-8.6300849
635.5516,-8.6033679
637.3057,-8.0481919
639.1926,-7.6632219
640.9461,-6.6691219
642.701,-6.5886989
644.4888,-6.4455769
646.2766,-6.2755839
647.9983,-6.1772425
649.6541,-6.2401315
651.2439,-6.5815
652.5358,-6.8585325
653.5961,-7.2975785
654.5876,-6.0525775
655.5467,-5.3002395
656.4083,-5.7840495
657.3677,-5.1660785
658.4255,-3.9569135
659.618,-4.25265
660.4462,-4.521472
661.273,-3.831825
662.2331,-3.742355
663.2262,-3.581225
664.1209,-4.002335
665.1142,-3.912869
666.2058,-3.1784637
667.5303,-3.1965276
669.2854,-3.2952576
671.0394,-2.6684176
673.1899,-1.4772906
675.4742,-1.1281976
77.8238,-0.1520766
680.0082,0.5105434
682.226,0.9850514
684.5443,0.7250194
686.7641,-0.1262059
688.8192,-1.541741
690.4097,-2.231659
691.9332,-2.446813
693.0925,-2.679841
694.0865,-3.1188776
695.1451,-2.4919606
696.1701,-1.4619446
697.3614,-0.9604496
698.3868,-0.2529096
699.4135,-0.3336436
700.2727,0.8397084
701.0691,-0.2980016
701.7986,-0.9340776
702.9255,-1.6329016
704.0838,-1.229937
704.9791,-2.0272684
706.2043,-2.0453214
707.5946,-1.7409164
709.0844,-1.5619304
710.5729,-0.5767554
712.1292,-0.5948454
713.7483,1.6802166
715.5034,1.5814866
716.9948,0.6766006
718.7837,0.1568566
720.6055,-0.300188
722.1955,-0.721375
723.6544,-2.065187
724.9788,-2.038462
726.8652,-1.357891
728.7848,-0.757943
731.071,-1.707711
733.3211,-0.704706
735.9998,1.570234
738.45,1.623705
741.0327,1.677162
743.947,1.426021
746.6605,2.617085
749.8066,2.3480032
752.7538,2.2491382
756.0306,3.1445382
759.0101,3.5204265
762.0227,3.9679715
764.9043,3.4301905
767.7173,4.5316675
770.5625,6.1885175
773.1442,6.8958835
775.8927,6.7522535
778.6079,6.8056953
781.2581,6.0260833
783.4771,5.7212733
785.5623,6.365991
787.4505,5.855194
789.3708,5.980386
791.5222,6.580306
793.6421,6.132183
795.7282,6.131949
797.7482,6.060062
799.5683,6.776471
801.1884,8.370755
802.9776,7.609154
804.9324,6.8385768
807.1503,7.2503798
809.0037,7.8951188
810.9248,7.5186888
813.0108,7.5632438
815.1617,8.5214768
817.1813,8.6735308
819.4321,9.2465688
821.949,8.9954688
824.7281,10.5627498
827.6066,12.040437
830.5553,10.947273
